焦距	GGX	GGY
10.00 	1.48	1.6
13.10 	1.5	1.63
19.50 	1.58	1.7
25.80 	1.7	1.8
41.60 	1.98	2.15
48.00 	2.15	2.3
60.70 	2.45	2.6
71.80 	2.8	2.9
81.30 	3.1	3.3
89.20 	3.4	3.6
103.40 	4.05	4.2
111.40 	4.3	4.58
119.30 	4.7	5
127.20 	5.2	5.5
132.00 	5.55	5.8
143.10 	6.5	6.8
147.80 	7	7.4
162.10 	8.5	9
171.60 	10.1	10.6
182.70 	11.7	12.4
190.60 	12.8	13.5
204.90 	14.3	15.2
209.60 	14.6	15.6
220.70 	15.4	16.3
241.30 	16.8	17.8
249.20 	17.8	19
261.90 	20	21
268.30 	21.7	23
277.80 	24.6	26
292.00 	28.9	30.8
300	31	33
