焦距	GGX	GGY
10.00 	1.45	1.6
13.10 	1.47	1.62
21.00 	1.55	1.7
33.70 	1.75	1.95
40.10 	1.92	2.1
49.60 	2.1	2.3
60.70 	2.4	2.6
67.00 	2.6	2.8
82.80 	3.1	3.4
92.40 	3.5	3.8
101.90 	3.8	4.2
108.20 	4.1	4.5
122.50 	4.7	5.2
132.00 	5.4	5.9
139.90 	6	6.6
151.00 	7.6	7.7
160.50 	8.05	8.85
171.60 	9.7	10.7
179.50 	10.9	12
189.00 	12.25	13.35
198.50 	13	14.5
212.00 	14.3	15.6
220.70 	14.5	16
231.80 	15.5	16.9
244.50 	16.5	18
252.40 	17.55	19.25
261.90 	19.3	21.5
273.00 	22	24
279.30 	24.25	27.05
292.00 	28	31
300	30.5	33.5
